"category_id","category_name"
73184,Aden (until 1967)
184105,Compression Packing
4008,Apparel
39746,Car CD Changers
183965,Filter Driers
178199,Category 8
3948,Token Slot Machines
4013,Décor
180006,Desiccant & Moisture Absorbers
12525,Stone Carvings
50764,Chip & Dale
182001,Process & Current Calibrators
259069,"Cab Enclosures, Enclosure Parts & Glass Panels"
258128,Polishing Bonnets
117039,Tools & Repair Kits
259297,Conduit Fitting & Accessories
261062,Plush Items
261951,CCG Grading Tools
82498,Wall Art & Posters
118975,Trumpets
132975,UMDs
79762,Face Masks
172007,Baby & Toddler Dancewear
134571,Buckles
261685,Other Glassware & Drinkware
183283,Needle Threaders
183553,Category 13
178178,Category 13
259150,Card Storage Boxes & Dividers
183073,Other Virtual Reality Accs
183391,Garden & Patio Torches
165661,"Unspecified, Unknown Date"
183172,Bone Folders
111800,Felt Sheets
35873,Other Dragon Statues
108828,Spice Girls
40413,Netherlands & Colonies
36413,Makeup Bags & Cases
261739,Napkin Rings & Holders
19189,Jigsaw
86647,Belt Buckles
56083,Internal Hard Disk Drives
258836,Deck Mount Faucets
181947,Other Analyzers
261047,Activewear Skirts & Skorts
92301,Other Commercial Kitchen Equipment
263,Other British Colony Stamps
42307,Hunting
16494,Artificial & Silk Flowers
173686,Mixed Lots
71187,Leather Lacing & Cords
183439,"Albums, Binders & Pages"
60313,Color
864,Humble
261746,Other Kitchen Linens & Textiles
102494,Agates
40856,Contemporary Chess
73240,Tuvalu
261252,Armoires & Wardrobes
51973,Underwear
26342,Children's Ice Hockey Skates
184668,Handheld Mixers
117490,Conduit Fittings
261827,Headgear
59902,Medals
165476,Ethnic Americana
160723,Other Hand Embroidery Tools
50719,Brussels Griffon
113484,Pro Audio Equipment Parts
30085,Props & Stage Equipment
260442,Air Cleaner & Purifier Units
139949,Fence Posts
104233,Lab Chemicals
1198,Toy Parts
47117,Stickers & Decals
37862,Candles & Candleholders
67696,Gift Boxes
31802,Lip Gloss
87133,Camping Cooking Utensils
50745,Miller
262042,Topographical Postcards
47238,Expansion Chambers
259289,Solar Wires & Cables
144,"Posters, Prints & Lithos"
2458,Dollhouses & Room Boxes
179405,Other Middle Eastern Stamps
168243,Eden
179345,Fiji (1967-Now)
165675,Statues & Figures
262012,Mourning Jewelry
177754,Tea Infusers
182177,Lighting & Lamps
73403,Photos
66526,Scotland
71536,Car Lighting
60289,T-Shirts
74726,Negatives
13925,Mixing Bowls
260944,Seed Starting Accessories
20561,Wall Clocks
1373,Collector Clubs
184971,Small Kitchen Appliance Accessories
74000,Gauges
11891,Cash Registers
108913,Iceland
35860,Phones
15910,Nursing
183800,Pest Control Gels
162189,Macau
261643,Stockings & Hangers
112478,Negatives
35696,"Glasses, Cups & Mugs"
180347,Chess Accessories
21148,Fans
14060,Calendars
156407,"Australia, ANZAC"
47075,Cables & Leads
159172,Novelties & Gifts
169305,Other Coins & Paper Money
179531,Silver (1892-1954)
258427,Sacrificial Fixture/Mini Plates
258662,Reach-In Refrigerators & Freezers
16496,Floral Craft Guides
109462,Air Fresheners
262354,Sealed Sticker Boxes
105052,"Amos, Tori"
183068,PC & Console VR Headsets
4735,Roman: Provincial (100-400 AD)
257926,Smart Doorbell Parts
